id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness,popularity,release_year,instrumentalness,lyrical_intensity,freshness
1,Sunrise City,Neon Echo,pop,happy,0.82,118,0.84,0.79,0.18,92,2022,0.15,0.62,0.74
2,Midnight Coding,LoRoom,lofi,chill,0.42,78,0.56,0.62,0.71,76,2020,0.78,0.35,0.48
3,Storm Runner,Voltline,rock,intense,0.91,152,0.48,0.66,0.10,88,2021,0.08,0.57,0.69
4,Library Rain,Paper Lanterns,lofi,chill,0.35,72,0.60,0.58,0.86,70,2019,0.85,0.28,0.42
5,Gym Hero,Max Pulse,pop,intense,0.93,132,0.77,0.88,0.05,95,2022,0.05,0.60,0.81
6,Spacewalk Thoughts,Orbit Bloom,ambient,chill,0.28,60,0.65,0.41,0.92,64,2018,0.92,0.20,0.33
7,Coffee Shop Stories,Slow Stereo,jazz,relaxed,0.37,90,0.71,0.54,0.89,67,2019,0.83,0.31,0.39
8,Night Drive Loop,Neon Echo,synthwave,moody,0.75,110,0.49,0.73,0.22,83,2021,0.28,0.50,0.77
9,Focus Flow,LoRoom,lofi,focused,0.40,80,0.59,0.60,0.78,72,2020,0.76,0.38,0.55
10,Rooftop Lights,Indigo Parade,indie pop,happy,0.76,124,0.81,0.82,0.35,90,2023,0.22,0.64,0.80
11,Golden Hour Reset,Indigo Parade,indie pop,relaxed,0.64,108,0.74,0.70,0.40,84,2023,0.38,0.55,0.72
12,Blue Neon Drive,Voltline,synthwave,energetic,0.88,138,0.57,0.85,0.12,86,2022,0.11,0.58,0.75
13,Quiet Harbor,Paper Lanterns,folk,calm,0.31,68,0.69,0.47,0.94,61,2017,0.94,0.24,0.28
14,Saturday Static,Max Pulse,electronic,focused,0.86,128,0.52,0.84,0.08,87,2024,0.09,0.66,0.83
15,Neon Daydream,Neon Echo,dream pop,moody,0.58,102,0.63,0.67,0.33,79,2021,0.30,0.49,0.63
16,Afterglow Walk,Slow Stereo,acoustic,reflective,0.29,74,0.72,0.45,0.96,58,2016,0.97,0.18,0.25
17,Pulse Parade,Max Pulse,pop,energetic,0.95,140,0.75,0.90,0.06,94,2024,0.06,0.61,0.85
18,Backyard Signals,Orbit Bloom,ambient,calm,0.26,62,0.66,0.39,0.95,59,2018,0.95,0.22,0.30
